service_id,date,exception_type
20230323,20230323,1
20230322,20230322,1
20230321,20230321,1
20230320,20230320,1
20230222,20230222,1
20230221,20230221,1
20230220,20230220,1
20230219,20230219,1
20230212,20230212,1
20230211,20230211,1
20230131,20230131,1
20230130,20230130,1
20230122,20230122,1
20230121,20230121,1
20230116,20230116,1
20230112,20230112,1
20230107,20230107,1
20230103,20230103,1
20221230,20221230,1
20230317,20230317,1
20230316,20230316,1
20230315,20230315,1
20230314,20230314,1
20230308,20230308,1
20230307,20230307,1
20230214,20230214,1
20230213,20230213,1
20230202,20230202,1
20230201,20230201,1
20230125,20230125,1
20230117,20230117,1
20230110,20230110,1
20230102,20230102,1
20221229,20221229,1
20221224,20221224,1
20230402,20230402,1
20230401,20230401,1
20230331,20230331,1
20230330,20230330,1
20230306,20230306,1
20230305,20230305,1
20230304,20230304,1
20230303,20230303,1
20230216,20230216,1
20230215,20230215,1
20230206,20230206,1
20230205,20230205,1
20230129,20230129,1
20230128,20230128,1
20230120,20230120,1
20230115,20230115,1
20230109,20230109,1
20221226,20221226,1
20221225,20221225,1
20230329,20230329,1
20230328,20230328,1
20230327,20230327,1
20230326,20230326,1
20230302,20230302,1
20230301,20230301,1
20230228,20230228,1
20230227,20230227,1
20230218,20230218,1
20230217,20230217,1
20230208,20230208,1
20230207,20230207,1
20230127,20230127,1
20230126,20230126,1
20230119,20230119,1
20230113,20230113,1
20230108,20230108,1
20230104,20230104,1
20221227,20221227,1
20230407,20230407,1
20230325,20230325,1
20230324,20230324,1
20230319,20230319,1
20230318,20230318,1
20230309,20230309,1
20230106,20230106,1
20230105,20230105,1
20230101,20230101,1
20221231,20221231,1
20221228,20221228,1
20230406,20230406,1
20230405,20230405,1
20230404,20230404,1
20230403,20230403,1
20230313,20230313,1
20230312,20230312,1
20230311,20230311,1
20230310,20230310,1
20230226,20230226,1
20230225,20230225,1
20230224,20230224,1
20230223,20230223,1
20230210,20230210,1
20230209,20230209,1
20230204,20230204,1
20230203,20230203,1
20230124,20230124,1
20230123,20230123,1
20230118,20230118,1
20230114,20230114,1
20230111,20230111,1
