fare_id,price,currency_type,payment_method,transfers
98-98,4.40,CAD,1,
98-97,17.85,CAD,1,
97-98,17.85,CAD,1,
97-97,4.40,CAD,1,
98-96,16.85,CAD,1,
96-98,16.85,CAD,1,
97-96,4.40,CAD,1,
96-97,4.40,CAD,1,
96-96,4.40,CAD,1,
98-95,16.30,CAD,1,
95-98,16.30,CAD,1,
97-95,6.65,CAD,1,
95-97,6.65,CAD,1,
96-95,4.40,CAD,1,
95-96,4.40,CAD,1,
95-95,4.40,CAD,1,
98-94,17.50,CAD,1,
94-98,17.50,CAD,1,
97-94,7.55,CAD,1,
94-97,7.55,CAD,1,
96-94,6.85,CAD,1,
94-96,6.85,CAD,1,
95-94,4.40,CAD,1,
94-95,4.40,CAD,1,
94-94,4.40,CAD,1,
98-93,17.35,CAD,1,
93-98,17.35,CAD,1,
97-93,9.00,CAD,1,
93-97,9.00,CAD,1,
96-93,7.60,CAD,1,
93-96,7.60,CAD,1,
95-93,5.50,CAD,1,
93-95,5.50,CAD,1,
94-93,4.40,CAD,1,
93-94,4.40,CAD,1,
93-93,4.40,CAD,1,
98-92,15.75,CAD,1,
92-98,15.75,CAD,1,
97-92,9.60,CAD,1,
92-97,9.60,CAD,1,
96-92,8.75,CAD,1,
92-96,8.75,CAD,1,
95-92,7.75,CAD,1,
92-95,7.75,CAD,1,
94-92,5.30,CAD,1,
92-94,5.30,CAD,1,
93-92,4.40,CAD,1,
92-93,4.40,CAD,1,
92-92,4.40,CAD,1,
98-91,15.45,CAD,1,
91-98,15.45,CAD,1,
97-91,10.90,CAD,1,
91-97,10.90,CAD,1,
96-91,9.55,CAD,1,
91-96,9.55,CAD,1,
95-91,9.10,CAD,1,
91-95,9.10,CAD,1,
94-91,5.90,CAD,1,
91-94,5.90,CAD,1,
93-91,5.10,CAD,1,
91-93,5.10,CAD,1,
92-91,4.40,CAD,1,
91-92,4.40,CAD,1,
91-91,4.40,CAD,1,
98-90,14.75,CAD,1,
90-98,14.75,CAD,1,
97-90,12.05,CAD,1,
90-97,12.05,CAD,1,
96-90,11.25,CAD,1,
90-96,11.25,CAD,1,
95-90,10.30,CAD,1,
90-95,10.30,CAD,1,
94-90,9.55,CAD,1,
90-94,9.55,CAD,1,
93-90,6.65,CAD,1,
90-93,6.65,CAD,1,
92-90,4.90,CAD,1,
90-92,4.90,CAD,1,
91-90,4.40,CAD,1,
90-91,4.40,CAD,1,
90-90,4.40,CAD,1,
98-89,10.90,CAD,1,
89-98,10.90,CAD,1,
97-89,12.10,CAD,1,
89-97,12.10,CAD,1,
96-89,11.25,CAD,1,
89-96,11.25,CAD,1,
95-89,10.30,CAD,1,
89-95,10.30,CAD,1,
94-89,9.60,CAD,1,
89-94,9.60,CAD,1,
93-89,8.80,CAD,1,
89-93,8.80,CAD,1,
92-89,5.30,CAD,1,
89-92,5.30,CAD,1,
91-89,5.50,CAD,1,
89-91,5.50,CAD,1,
90-89,4.40,CAD,1,
89-90,4.40,CAD,1,
89-89,4.40,CAD,1,
98-88,14.25,CAD,1,
88-98,14.25,CAD,1,
97-88,9.00,CAD,1,
88-97,9.00,CAD,1,
96-88,6.30,CAD,1,
88-96,6.30,CAD,1,
95-88,5.10,CAD,1,
88-95,5.10,CAD,1,
94-88,4.40,CAD,1,
88-94,4.40,CAD,1,
93-88,4.40,CAD,1,
88-93,4.40,CAD,1,
92-88,5.65,CAD,1,
88-92,5.65,CAD,1,
91-88,6.85,CAD,1,
88-91,6.85,CAD,1,
90-88,10.85,CAD,1,
88-90,10.85,CAD,1,
89-88,10.90,CAD,1,
88-89,10.90,CAD,1,
88-88,4.40,CAD,1,
98-87,12.80,CAD,1,
87-98,12.80,CAD,1,
97-87,11.40,CAD,1,
87-97,11.40,CAD,1,
96-87,10.20,CAD,1,
87-96,10.20,CAD,1,
95-87,9.55,CAD,1,
87-95,9.55,CAD,1,
94-87,6.85,CAD,1,
87-94,6.85,CAD,1,
93-87,7.60,CAD,1,
87-93,7.60,CAD,1,
92-87,8.80,CAD,1,
87-92,8.80,CAD,1,
91-87,9.65,CAD,1,
87-91,9.65,CAD,1,
90-87,12.35,CAD,1,
87-90,12.35,CAD,1,
89-87,12.10,CAD,1,
87-89,12.10,CAD,1,
88-87,4.40,CAD,1,
87-88,4.40,CAD,1,
87-87,4.40,CAD,1,
98-86,12.00,CAD,1,
86-98,12.00,CAD,1,
97-86,12.10,CAD,1,
86-97,12.10,CAD,1,
96-86,11.25,CAD,1,
86-96,11.25,CAD,1,
95-86,10.40,CAD,1,
86-95,10.40,CAD,1,
94-86,8.75,CAD,1,
