fare_id,origin_id,destination_id
98-98,98,98
98-97,98,97
97-98,97,98
97-97,97,97
98-96,98,96
96-98,96,98
97-96,97,96
96-97,96,97
96-96,96,96
98-95,98,95
95-98,95,98
97-95,97,95
95-97,95,97
96-95,96,95
95-96,95,96
95-95,95,95
98-94,98,94
94-98,94,98
97-94,97,94
94-97,94,97
96-94,96,94
94-96,94,96
95-94,95,94
94-95,94,95
94-94,94,94
98-93,98,93
93-98,93,98
97-93,97,93
93-97,93,97
96-93,96,93
93-96,93,96
95-93,95,93
93-95,93,95
94-93,94,93
93-94,93,94
93-93,93,93
98-92,98,92
92-98,92,98
97-92,97,92
92-97,92,97
96-92,96,92
92-96,92,96
95-92,95,92
92-95,92,95
94-92,94,92
92-94,92,94
93-92,93,92
92-93,92,93
92-92,92,92
98-91,98,91
91-98,91,98
97-91,97,91
91-97,91,97
96-91,96,91
91-96,91,96
95-91,95,91
91-95,91,95
94-91,94,91
91-94,91,94
93-91,93,91
91-93,91,93
92-91,92,91
91-92,91,92
91-91,91,91
98-90,98,90
90-98,90,98
97-90,97,90
90-97,90,97
96-90,96,90
90-96,90,96
95-90,95,90
90-95,90,95
94-90,94,90
90-94,90,94
93-90,93,90
90-93,90,93
92-90,92,90
90-92,90,92
91-90,91,90
90-91,90,91
90-90,90,90
98-89,98,89
89-98,89,98
97-89,97,89
89-97,89,97
96-89,96,89
89-96,89,96
95-89,95,89
89-95,89,95
94-89,94,89
89-94,89,94
93-89,93,89
89-93,89,93
92-89,92,89
89-92,89,92
91-89,91,89
89-91,89,91
90-89,90,89
89-90,89,90
89-89,89,89
98-88,98,88
88-98,88,98
97-88,97,88
88-97,88,97
96-88,96,88
88-96,88,96
95-88,95,88
88-95,88,95
94-88,94,88
88-94,88,94
93-88,93,88
88-93,88,93
92-88,92,88
88-92,88,92
91-88,91,88
88-91,88,91
90-88,90,88
88-90,88,90
89-88,89,88
88-89,88,89
88-88,88,88
98-87,98,87
87-98,87,98
97-87,97,87
87-97,87,97
96-87,96,87
87-96,87,96
95-87,95,87
87-95,87,95
94-87,94,87
87-94,87,94
93-87,93,87
87-93,87,93
92-87,92,87
87-92,87,92
91-87,91,87
87-91,87,91
90-87,90,87
87-90,87,90
89-87,89,87
87-89,87,89
88-87,88,87
87-88,87,88
87-87,87,87
98-86,98,86
86-98,86,98
97-86,97,86
86-97,86,97
96-86,96,86
86-96,86,96
95-86,95,86
86-95,86,95
94-86,94,86
86-94,86,94
93-86,93,86
86-93,86,93
92-86,92,86
86-92,86,92
91-86,91,86
86-91,86,91
90-86,90,86
86-90,86,90
89-86,89,86
86-89,86,89
88-86,88,86
86-88,86,88
87-86,87,86
86-87,86,87
86-86,86,86
98-85,98,85
85-98,85,98
97-85,97,85
85-97,85,97
96-85,96,85
85-96,85,96
95-85,95,85
85-95,85,95
94-85,94,85
85-94,85,94
93-85,93,85
85-93,85,93
92-85,92,85
85-92,85,92
91-85,91,85
85-91,85,91
90-85,90,85
85-90,85,90
89-85,89,85
85-89,85,89
88-85,88,85
85-88,85,88
87-85,87,85
85-87,85,87
86-85,86,85
85-86,85,86
85-85,85,85
98-84,98,84
84-98,84,98
97-84,97,84
84-97,84,97
96-84,96,84
84-96,84,96
95-84,95,84
84-95,84,95
94-84,94,84
84-94,84,94
93-84,93,84
84-93,84,93
92-84,92,84
84-92,84,92
91-84,91,84
84-91,84,91
90-84,90,84
84-90,84,90
89-84,89,84
84-89,84,89
