stop_id,shelter,washroom,bike_rack,bench
08044,0,0,0,0
02817,1,0,0,0
02816,1,0,0,0
02814,0,0,0,0
02813,0,0,0,0
02812,0,0,0,0
02810,0,0,0,0
02809,0,0,0,0
02808,0,0,0,0
02807,0,0,0,0
02806,0,0,0,0
02802,0,0,0,0
02800,0,0,0,0
02799,0,0,0,0
02798,0,0,0,0
02797,0,0,0,0
02796,0,0,0,0
02795,0,0,0,0
02794,0,0,0,0
02793,0,0,0,0
02791,0,0,0,0
02790,0,0,0,0
02789,0,0,0,0
02788,0,0,0,0
02787,0,0,0,0
LN,0,0,0,0
02786,0,0,0,0
02785,0,0,0,0
02784,0,0,0,0
02783,0,0,0,0
02782,0,0,0,0
02781,0,0,0,0
02780,0,0,0,0
02779,0,0,0,0
02778,0,0,0,0
02777,0,0,0,0
02776,0,0,0,0
02775,0,0,0,0
02772,0,0,0,0
02771,0,0,0,0
BM,1,1,0,0
02767,1,1,0,0
7000,0,0,0,0
02761,0,0,0,0
02760,0,0,0,0
02759,0,0,0,0
02757,0,0,0,0
02756,0,0,0,0
02755,0,0,0,0
02754,0,0,0,0
02753,0,0,0,0
02752,0,0,0,0
02751,0,0,0,0
02750,0,0,0,0
02300,0,1,1,1
02749,0,0,0,0
02748,0,0,0,0
02747,0,0,0,0
02746,0,0,0,0
02745,0,0,0,0
02744,0,0,0,0
02743,0,0,0,0
02742,0,0,0,0
02741,0,0,0,0
02740,0,0,0,0
02739,0,0,0,0
02738,0,0,0,0
02737,0,0,0,0
02736,0,0,0,0
02735,0,0,0,0
02734,0,0,0,0
02733,0,0,0,0
02732,0,0,0,0
02731,0,0,0,0
02730,0,0,0,0
02729,0,0,0,0
02728,0,0,0,0
02726,0,0,0,0
02725,0,0,0,0
02722,0,0,0,0
02721,0,0,0,0
02720,0,0,0,0
02719,0,0,0,0
02717,0,0,0,0
02716,0,0,0,0
02715,0,0,0,0
02714,0,0,0,0
02713,0,0,0,0
02712,0,0,0,0
02711,0,0,0,0
02710,0,0,0,0
02709,0,0,0,0
02708,0,0,0,0
02706,0,0,0,0
02702,0,0,0,0
02695,0,0,0,0
02694,0,0,0,0
02692,0,0,0,0
02691,0,0,0,0
02690,0,0,0,0
02689,0,0,0,0
02686,0,0,0,0
02680,0,0,0,0
02679,0,0,0,0
02678,0,0,0,0
02674,0,1,0,0
02673,0,1,0,0
02672,0,0,0,0
DW,1,0,1,0
02669,0,0,0,0
02668,0,0,0,0
02667,0,0,1,0
02666,0,0,1,0
02665,0,0,0,0
02663,0,0,0,0
02662,0,0,0,0
02661,1,1,1,0
02660,1,1,1,0
02659,1,0,1,0
02658,1,0,1,0
02655,0,0,0,0
02652,0,1,1,0
02651,0,0,0,0
02650,0,0,0,0
02649,0,0,0,0
02648,0,0,0,0
02646,0,0,0,0
02644,0,0,0,0
02643,0,1,1,0
02642,0,1,1,0
02637,0,0,0,0
02636,1,0,1,0
02635,1,0,1,0
GO,1,1,1,0
02634,0,0,0,0
02632,0,0,0,0
02629,1,1,1,0
02628,0,0,0,0
02625,0,0,1,0
02621,0,0,0,0
02620,0,0,0,0
02619,0,0,0,0
02618,0,0,0,0
02617,0,0,1,0
02616,0,0,0,0
02614,0,0,0,0
02613,0,0,0,0
02612,0,0,0,0
02611,0,0,0,0
02610,0,0,0,0
02609,0,0,0,0
02608,0,0,0,0
02607,0,0,0,0
02605,0,0,0,0
02602,0,0,0,0
02601,0,0,0,0
02600,0,0,0,0
02599,0,0,0,0
02216,0,0,1,0
02598,0,0,0,0
02597,0,0,0,0
02596,0,0,0,0
02591,0,0,0,0
02590,0,0,0,0
02589,0,0,0,0
02585,0,0,0,0
02584,0,0,0,0
02583,0,0,0,0
02582,0,0,0,0
02580,0,0,0,0
04441,0,0,0,0
04440,0,0,0,0
04133,0,0,0,0
04132,0,0,0,0
04131,0,0,0,0
04130,0,0,0,0
02577,0,0,0,0
02576,0,0,0,0
02575,0,0,0,0
02574,0,0,0,0
02415,0,0,0,0
02414,0,0,0,0
02573,0,0,0,0
02571,0,0,0,0
02569,0,0,0,0
02568,0,0,0,0
02567,0,0,0,0
02545,0,0,0,0
02544,0,0,0,0
02542,0,0,0,0
02541,0,0,0,0
02540,0,0,0,0
02539,0,0,0,0
02538,0,0,0,0
02537,0,0,0,0
02535,0,0,0,0
02534,0,0,0,0
02533,0,0,0,0
02531,0,0,0,0
02530,0,0,0,0
00736,1,1,1,0
00735,0,0,0,0
00152,0,0,0,0
02529,1,1,1,0
02215,0,0,1,0
02214,0,0,1,0
02213,0,0,1,0
00992,0,0,0,0
00991,0,0,0,0
00990,0,0,0,0
00989,0,0,0,0
WR,0,1,1,0
02210,0,0,1,0
02208,0,0,0,0
00981,0,0,0,0
09921,0,0,0,0
09742,0,0,0,0
09681,0,0,0,0
09631,0,0,0,0
09191,0,1,0,0
09091,1,1,1,0
09052,1,1,1,0
09051,1,1,1,0
09041,0,1,1,0
00359,1,1,1,0
02161,0,1,1,0
00202,1,1,1,0
00341,0,1,1,0
00129,1,1,1,0
00148,1,1,1,0
00189,1,1,1,0
00188,0,0,1,0
00187,1,1,1,0
00194,1,1,1,0
00345,1,1,1,0
02160,1,1,1,0
00276,1,1,1,0
00097,1,1,1,0
00081,1,1,1,0
02157,1,1,1,0
00028,1,1,1,0
00062,1,1,1,0
00352,1,0,1,0
00117,1,1,1,0
00121,1,1,1,0
00122,0,0,1,0
00125,0,0,1,0
00128,1,1,1,0
00209,1,1,1,0
00296,1,1,1,0
00221,0,0,0,0
00054,1,1,1,0
00228,1,1,1,0
00159,1,1,1,0
00161,1,1,1,0
00147,1,1,1,0
00141,1,1,1,0
00180,1,1,1,0
00177,1,1,1,0
00263,1,1,1,0
00264,1,1,1,0
00137,1,1,1,0
00181,1,1,1,0
00182,1,1,1,0
9033,0,1,1,0
02413,1,1,1,0
00978,0,0,0,0
00977,0,0,0,0
00731,0,0,0,0
00730,0,0,0,0
00972,0,0,0,0
00971,0,0,0,0
02523,0,0,0,0
02522,0,0,0,0
01727,0,0,0,0
01726,0,0,0,0
00970,0,0,0,0
08039,0,0,0,0
00969,0,0,0,0
00968,0,0,0,0
00963,0,0,0,0
00962,0,0,0,0
00956,0,0,0,0
02202,0,0,0,0
01721,0,1,1,0
00955,1,1,1,0
02196,1,1,1,0
02193,0,0,0,0
02191,0,0,0,0
08035,0,0,0,0
08032,0,0,1,0
08030,1,0,0,1
08029,0,0,0,0
08025,0,0,0,0
08024,0,0,0,0
08021,0,0,0,0
08020,0,0,0,0
08012,1,1,1,0
08010,1,1,1,0
08006,1,1,1,0
08002,1,1,1,0
02187,0,0,0,0
02186,1,1,1,0
02408,0,0,1,0
01487,0,0,0,0
01486,0,0,0,0
01485,0,0,0,0
01484,0,0,0,0
01483,0,0,0,0
01482,0,0,0,0
01481,0,0,0,0
00729,0,0,0,0
00728,0,0,0,0
00727,0,0,0,0
00726,0,0,0,0
00368,0,0,0,0
00367,0,0,0,0
00366,0,0,0,0
00363,0,0,0,0
USBT,1,1,1,0
00031,1,1,1,0
01545,0,0,0,0
01462,0,0,0,0
01461,0,0,0,0
01459,0,0,0,0
01458,0,0,0,0
01457,0,0,0,0
01456,0,0,0,0
02520,0,0,0,0
02407,1,0,0,0
02185,0,0,0,0
02184,0,0,0,0
01025,0,0,0,0
01024,0,0,0,0
00360,0,0,0,0
02519,1,1,1,0
02518,0,0,0,0
02517,0,0,0,0
02179,0,0,0,0
00952,0,0,0,0
02175,0,0,0,0
02174,0,0,0,0
01454,0,0,0,0
02163,0,0,0,0
02162,0,0,0,0
01452,0,0,0,0
00358,0,0,0,0
AD,0,0,1,0
02512,0,0,0,0
02510,0,0,0,0
02509,0,0,0,0
02507,0,0,0,0
02506,0,0,0,0
02505,0,0,0,0
02504,0,0,0,0
02503,0,0,0,0
02502,0,1,1,0
02501,0,0,0,0
02406,0,0,0,0
02405,0,0,0,0
02404,0,0,0,0
02402,0,0,0,0
02401,1,1,1,0
02400,0,1,1,0
02158,0,0,0,0
02155,0,0,0,0
02153,0,0,0,0
02151,0,0,0,0
02150,0,0,0,0
02149,0,1,1,0
02148,0,0,0,0
02147,0,1,1,0
02145,0,0,0,0
02140,0,0,0,0
02139,0,0,0,0
02138,0,0,0,0
02135,0,0,0,0
02134,0,0,0,0
02130,0,0,0,0
02128,0,0,1,0
02118,0,0,0,0
02108,0,0,0,0
02105,0,0,0,0
02104,0,0,0,0
02103,0,0,0,0
02102,0,0,0,0
02097,0,0,0,0
02095,0,0,0,0
02093,0,0,0,0
02092,0,0,0,0
02088,0,0,0,0
02084,0,0,0,0
02081,0,0,0,0
02078,0,0,0,0
02072,0,0,0,0
02071,0,0,0,0
02061,0,0,0,0
02060,0,0,0,0
02059,0,0,0,0
02058,0,0,0,0
02056,0,0,0,0
02041,0,0,0,0
02035,0,0,0,0
02032,0,0,0,0
02027,0,0,0,0
02026,0,0,0,0
02024,0,0,0,0
02021,0,0,0,0
02020,0,0,0,0
02018,0,0,0,0
02012,0,0,0,0
02010,0,0,0,0
02004,0,0,0,0
02003,0,0,0,0
01998,0,0,0,0
01997,0,0,0,0
01996,0,0,0,0
01994,0,0,0,0
01993,0,0,0,0
01988,0,0,0,0
01987,0,0,0,0
01982,0,0,0,0
01979,0,0,0,0
01974,0,0,0,0
01973,0,0,0,0
01972,0,0,0,0
01970,0,0,0,0
01969,0,0,0,0
01939,0,0,0,0
01937,0,0,0,0
01925,0,0,0,0
01888,0,0,0,0
01887,0,0,0,0
01886,0,0,0,0
01882,0,0,0,0
01881,0,0,0,0
01878,0,0,0,0
01877,0,0,0,0
01876,0,0,0,0
01875,0,0,0,0
01874,0,0,0,0
01872,0,0,0,0
01867,0,0,0,0
01865,0,0,0,0
01864,0,0,0,0
01862,0,0,0,0
01860,0,0,0,0
01848,0,0,0,0
01846,0,0,0,0
01842,0,0,0,0
01838,0,0,0,0
01835,0,0,0,0
01834,0,0,0,0
01833,0,0,0,0
01830,0,0,0,0
01825,0,0,0,0
01822,0,0,0,0
01821,1,1,1,0
01820,0,0,0,0
01819,0,0,0,0
01818,0,0,0,0
01816,0,0,0,0
01814,0,0,0,0
01813,0,0,0,0
01812,0,0,0,0
01811,0,0,0,0
01810,0,0,0,0
01804,0,0,0,0
01801,0,0,0,0
01800,0,0,0,0
01720,0,0,0,0
01716,0,0,0,0
01715,0,0,0,0
01714,0,0,0,0
01713,0,0,0,0
01712,0,0,0,0
01709,0,0,0,0
01708,0,0,0,0
01707,0,0,0,0
01706,0,0,0,0
01705,0,0,0,0
01704,0,0,0,0
01703,0,0,0,0
01702,0,0,0,0
01701,0,0,0,0
01662,0,0,0,0
01661,0,0,0,0
01657,0,0,0,0
01654,0,0,0,0
01653,0,0,0,0
01652,0,0,0,0
01651,0,0,0,0
01650,0,0,0,0
01647,0,0,0,0
01645,0,0,0,0
01644,0,0,0,0
01641,0,0,0,0
01640,0,0,0,0
01638,0,0,0,0
01637,0,0,0,0
01636,0,0,0,0
01634,0,0,0,0
01633,0,0,0,0
01632,0,0,0,0
01631,0,0,0,0
01630,0,0,0,0
01628,0,0,0,0
01619,0,0,0,0
01616,0,0,0,0
01614,0,0,0,0
01611,0,0,0,0
01610,0,0,0,0
01543,0,0,0,0
01541,0,0,0,0
01540,0,0,0,0
01538,0,0,0,0
01536,0,0,0,0
01535,0,0,0,0
01534,0,0,0,0
01533,0,0,0,0
01532,0,0,0,0
01528,0,0,0,0
01522,0,0,0,0
01521,0,0,0,0
01515,0,0,0,0
01508,0,0,0,0
01449,0,0,0,0
01448,0,0,0,0
01440,0,0,0,0
01438,0,0,0,0
01437,0,0,0,0
01436,0,0,1,0
01426,0,0,0,0
01423,0,0,0,0
01422,0,0,0,0
01421,0,0,0,0
01419,0,0,0,0
01414,0,0,0,0
01405,0,0,0,0
01400,0,0,0,0
01399,0,0,0,0
01398,0,0,0,0
01397,0,0,0,0
01395,0,0,0,0
01392,0,0,0,0
01391,0,0,0,0
01385,0,0,0,0
01384,0,0,0,0
01373,0,0,0,0
01372,0,0,0,0
01368,0,0,0,0
01365,0,0,0,0
01362,0,0,0,0
01359,0,0,0,0
01358,0,0,0,0
01357,0,0,0,0
01356,0,0,0,0
01349,0,0,0,0
01342,0,0,0,0
01340,0,0,0,0
01333,0,0,0,0
01332,0,0,0,0
01327,0,0,0,0
01326,0,0,0,0
01325,0,0,0,0
01322,0,0,0,0
01321,0,0,0,0
01320,0,0,0,0
01317,0,0,0,0
01316,0,0,0,0
