service_id,date,exception_type
131.32681.3,20230108,1
131.24610.1,20230109,1
131.24611.1,20230109,1
131.27118.1,20230109,1
131.24610.1,20230110,1
131.24611.1,20230110,1
131.27118.1,20230110,1
131.24610.1,20230111,1
131.24611.1,20230111,1
131.27118.1,20230111,1
131.24610.1,20230112,1
131.24611.1,20230112,1
131.27118.1,20230112,1
131.24610.1,20230113,1
131.24611.1,20230113,1
131.27118.1,20230113,1
131.32681.3,20230115,1
131.24610.1,20230116,1
131.24611.1,20230116,1
131.27118.1,20230116,1
131.24610.1,20230117,1
131.24611.1,20230117,1
131.27118.1,20230117,1
131.24610.1,20230118,1
131.24611.1,20230118,1
131.27118.1,20230118,1
131.24610.1,20230119,1
131.24611.1,20230119,1
131.27118.1,20230119,1
131.24610.1,20230120,1
131.24611.1,20230120,1
131.27118.1,20230120,1
131.32681.3,20230122,1
131.24610.1,20230123,1
131.24611.1,20230123,1
131.27118.1,20230123,1
131.24610.1,20230124,1
131.24611.1,20230124,1
131.27118.1,20230124,1
131.24610.1,20230125,1
131.24611.1,20230125,1
131.27118.1,20230125,1
131.24610.1,20230126,1
131.24611.1,20230126,1
131.27118.1,20230126,1
131.24610.1,20230127,1
131.24611.1,20230127,1
131.27118.1,20230127,1
131.32681.3,20230129,1
131.24610.1,20230130,1
131.24611.1,20230130,1
131.27118.1,20230130,1
131.24610.1,20230131,1
131.24611.1,20230131,1
131.27118.1,20230131,1
131.24610.1,20230201,1
131.24611.1,20230201,1
131.27118.1,20230201,1
131.24610.1,20230202,1
131.24611.1,20230202,1
131.27118.1,20230202,1
131.32681.3,20230205,1
131.24610.1,20230206,1
131.24611.1,20230206,1
131.27118.1,20230206,1
131.24610.1,20230207,1
131.24611.1,20230207,1
131.27118.1,20230207,1
131.24610.1,20230208,1
131.24611.1,20230208,1
131.27118.1,20230208,1
131.24610.1,20230209,1
131.24611.1,20230209,1
131.27118.1,20230209,1
131.24610.1,20230210,1
131.24611.1,20230210,1
131.27118.1,20230210,1
131.32681.3,20230212,1
131.24610.1,20230213,1
131.24611.1,20230213,1
131.27118.1,20230213,1
131.24610.1,20230214,1
131.24611.1,20230214,1
131.27118.1,20230214,1
131.24610.1,20230215,1
131.24611.1,20230215,1
131.27118.1,20230215,1
131.24610.1,20230216,1
131.24611.1,20230216,1
131.27118.1,20230216,1
131.24610.1,20230217,1
131.24611.1,20230217,1
131.27118.1,20230217,1
131.32681.3,20230219,1
131.0.80,20230220,1
